_id,dob,lan,tweet_id,number_of_days_between_birth_and_tweet,
TracyHiggs,20/09/2014,en,TracyHiggs/status/513239560776859648,,
josh_stevenson,30/08/2014,en,josh_stevenson/status/494662613922365440,,
mrsamyski,28/07/2014,en,Ski_KC/status/493844900777979904,1,
macey_fit,23/07/2014,en,macey_fit/status/492036431423229952,,
TeenTeacherLA,4/7/2014,en,TeenTeacherLA/status/486995833339256832,,
dizzyblonde18,7/6/2014,en,dizzyblonde18/status/485825003963682816,,
JordanRae87,4/7/2014,en,jaredsparks/status/485098883622518784,,
teachkate,18/06/2014,en,teachkate/status/482614209054654466,,
dahleeezy,24/04/2014,en,dahleeezy/status/481568781051760640,1,
NicoKartel,18/04/2014,en,NicoKartel/status/457148883475652608,1,
Amandeen,16/2/2015,fr,Amandeen/status/568769601766604800,3,
onglerie2movgui,15/08/2014,fr,onglerie2movgui/status/500421128041803776,,
Karisa_Shaffer,15/01/2014,en,Karisa_Shaffer/status/558701401434779648,,
tikalmay,29/11/2013,en,tikalmay/status/406597287276998657,,
chocobea,12/9/2014,fr,chocobea/status/510340573040230401,,
nmillanotero,14/10/2014,es,HoracioJSerpa/status/523285559276748801,,
satchapretto,12/7/2014,es,satchapretto/status/488494283981586432,,
bbmeetstheworld,24/11/2014,fr,bbmeetstheworld/status/536922031204208642,,
Petite_Mam,14/01/2015,fr,Petite_Mam/status/568436140983902208,,
trukmus,17/02/2015,fr,trukmus/status/303283854565851136,,
MumInLearning,8/3/2014,fr,MumInLearning/status/528275429720096768,,
NatOhaBel,2/10/2014,fr,NatOhaBel/status/507866982885363712,,
JulieStPierre1,24/09/2014,fr,JulieStPierre1/status/518362536484560896,,
norkydee,17/07/2014,fr,dareljedid/status/490270635105714176,,
hgudger3,17/02/2015,en,BenTwigger/status/567810783988686848,,
putri_CMS,16/02/2015,en,putri_CMS/status/567369216257302529,,
GenevieveTorri,16/02/2015,en,GenevieveTorri/status/567240269863452673,,
DevannMariexo,28/01/2015,en,DevannMariexo/status/560492400435793921,,
Jenniferanne_xo,27/01/2015,en,andiweimann/status/560121711698665472,,
facemissing,17/01/2015,en,David_J_Davies/status/556600337629716481,,
